1 | 1 2 3 4 5 6 7 8 9 10 | 114.94 142.33 132.20 131.74 42.30 31.40 19.45 19.45 26.43 23.69
2 | 1 2 3 4 5 6 7 8 9 10 | 115.50 139.00 145.90 112.90 30.80 26.10 124.40 131.00 17.45 25.32
3 | 1 2 3 4 5 6 7 8 9 10 | 23.60 131.50 119.60 21.50 17.60 19.40 25.50 17.20 21.25 21.25
4 | 1 2 3 4 5 6 7 8 9 10 | 108.71 150.00 21.01 41.23 30.82 120.78 133.55 22.96 30.81 28.06
5 | 1 2 3 4 5 6 7 8 9 10 | 23.00 131.16 119.10 27.74 140.66 34.74 21.40 21.40 116.30 31.84
6 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 101.67 165.81 44.20 27.80 27.80 50.57 47.87 33.69 27.12 27.12 39.70 19.30 39.91 40.05 20.19
7 | 1 2 3 4 5 6 7 8 9 10 | 105.86 152.34 23.55 23.55 40.37 26.93 51.72 40.63 23.95 23.95
8 | 1 2 3 4 5 6 7 8 9 10 | 22.39 144.42 116.15 31.43 40.98 31.53 47.28 38.19 23.92 23.92
9 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 17.90 139.20 125.80 23.30 39.70 133.20 15.15 125.00 42.00 37.40 27.10 27.10 141.00 127.70 40.40
10 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 105.50 156.90 42.70 27.80 27.80 50.57 47.87 33.69 26.85 26.85 39.70 19.30 34.66 40.05 20.44
11 | 1 2 3 4 5 6 7 8 9 10 | 23.40 134.10 120.90 29.60 127.80 121.60 19.70 20.20 26.80 31.60
12 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 111.80 153.90 34.10 27.90 123.90 134.80 16.10 39.30 28.70 52.90 47.60 39.60 32.50 26.10 26.10
13 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 111.80 153.90 34.10 27.90 123.90 134.80 16.10 39.30 28.70 52.90 47.60 39.60 32.50 26.10 26.10
14 | 1 2 3 4 5 6 7 8 9 10 | 98.96 166.44 46.88 28.85 23.78 48.04 37.41 41.83 27.62 27.62
15 | 1 2 3 4 5 6 7 8 10 11 | 23.17 132.90 120.70 25.90 44.50 71.90 26.90 26.90 23.60 30.90
16 | 1 2 3 4 5 7 8 9 10 11 | 23.30 133.70 118.70 34.50 71.70 36.90 16.95 16.95 31.10 27.20
17 | 1 2 3 4 5 6 7 8 9 11 | 20.30 46.30 20.30 45.00 27.20 33.90 48.90 11.30 79.90 40.30
18 | 1 2 5 6 7 8 9 10 11 12 13 14 | 21.10 170.80 79.70 36.90 45.20 26.83 28.20 48.80 19.80 47.90 18.25 18.25
19 | 1 2 3 4 5 6 7 9 10 11 | 11.30 48.90 33.90 27.20 45.00 40.30 79.90 46.30 20.30 20.30
20 | 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 | 111.16 145.40 73.30 27.90 41.00 20.00 58.50 149.20 109.40 31.60 24.23 45.70 33.48 28.09 28.09 42.19 19.31 36.70 38.10 22.40
21 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 112.90 146.80 129.70 138.00 52.50 31.80 20.60 20.60 28.10 36.60 134.70 15.55 125.31 23.83 30.80
22 | 1 2 3 4 5 6 7 8 9 10 | 21.01 135.00 129.14 126.34 145.56 33.90 23.85 23.85 126.34 129.14
23 | 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 | 110.90 145.40 73.30 27.90 41.00 20.00 58.50 149.20 109.40 31.60 24.23 45.70 33.48 28.09 28.09 42.19 19.31 36.70 38.10 22.40
24 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 112.90 146.80 129.70 138.00 52.50 31.80 20.60 20.60 28.10 36.60 134.70 16.13 125.31 24.95 30.80
25 | 1 2 3 4 5 6 7 8 10 11 | 19.90 32.80 19.90 34.10 33.75 35.59 74.73 23.53 26.30 20.08
26 | 1 2 3 4 6 7 8 9 10 11 12 14 15 17 18 19 20 21 22 23 24 25 | 111.16 145.40 73.30 27.90 41.00 20.00 56.54 147.28 109.09 40.50 72.31 170.23 21.11 61.10 33.23 27.39 27.39 41.20 19.30 39.24 37.43 14.94
27 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 22 | 21.40 34.96 21.40 144.98 133.77 139.14 140.39 29.75 24.80 38.67 19.62 35.51 17.90 36.90 47.20 16.10 185.20 46.07 19.12 26.60
28 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 108.50 148.50 35.90 23.50 40.80 35.20 20.44 28.05 29.75 143.90 35.13 21.98 21.98 127.83 54.32
29 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 19.82 139.19 116.14 30.08 45.59 52.50 50.50 41.86 18.72 41.90 21.80 39.70 32.90 28.15 28.15
30 | 1 2 3 4 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 | 111.16 145.40 73.30 27.90 41.00 20.00 56.54 148.39 108.76 37.24 69.65 61.40 33.23 27.39 27.39 41.20 18.92 39.34 37.22 16.59
31 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 22 | 21.40 34.96 21.40 144.98 133.77 139.14 147.29 29.75 24.80 38.79 19.62 36.24 18.60 36.90 47.20 16.10 185.20 46.07 20.05 26.60
32 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 17 18 19 20 21 22 | 109.83 150.38 37.02 21.90 36.43 20.73 51.63 136.20 121.70 24.59 44.48 46.25 16.95 184.10 37.50 18.35 38.65 35.00 13.91 46.30
33 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 27.12 33.69 27.12 39.70 21.70 39.91 44.02 20.17 50.57 59.04 19.55 24.02 63.30 33.76 25.30
34 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 26.85 33.69 26.85 39.70 21.80 34.66 44.02 19.76 50.57 33.37 19.55 28.03 63.30 34.10 21.79
35 | 1 2 3 4 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 | 111.16 145.40 73.30 27.90 41.00 20.00 56.54 147.28 109.09 39.45 68.92 61.40 33.23 27.39 27.39 41.20 19.30 39.24 37.43 14.94
36 | 1 2 3 4 5 6 7 8 9 10 | 22.39 144.42 116.15 31.43 40.98 31.53 47.28 38.19 23.92 23.92
37 | 1 2 3 4 5 6 7 8 9 10 | 22.39 144.42 116.15 31.43 40.98 31.53 47.28 38.19 23.92 23.92
38 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30 | 12.30 23.00 46.05 26.40 34.00 36.30 18.80 56.10 28.30 24.30 56.86 32.15 31.98 121.43 140.84 42.32 71.51 31.64 37.32 36.50 18.19 50.37 21.16 39.91 42.30 15.17 28.95 19.20 19.20
39 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30 | 12.30 23.00 46.05 26.40 34.00 36.30 18.80 56.10 28.30 24.30 56.90 32.30 32.00 121.30 141.20 42.40 71.30 31.60 37.50 36.50 19.40 50.50 21.20 40.00 42.30 12.00 28.95 19.20 19.20
40 | 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 | 111.16 145.40 73.30 27.90 41.00 20.00 58.50 149.20 109.40 38.50 24.40 57.10 39.60 27.10 64.90 35.40 19.00 39.00 38.90 15.30
41 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 23.04 143.91 116.10 30.08 36.96 44.34 44.78 33.23 19.82 19.82 21.80 36.26 39.41 19.27 54.28
42 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 19.80 131.00 126.67 36.81 42.36 31.70 19.60 19.60 141.37 124.40 133.70 21.20 127.10 125.12 133.75
43 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 23.90 133.00 123.70 47.74 42.70 27.17 36.23 135.96 21.90 121.20 23.80 41.50 28.50 21.85 21.85
44 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 23.04 143.91 116.10 30.08 36.96 44.34 44.78 33.23 19.82 19.82 21.80 36.26 39.41 19.27 54.28
45 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 23.04 143.91 116.10 30.08 36.96 44.34 44.78 33.23 19.82 19.82 21.80 36.26 39.41 19.27 54.28
46 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 108.76 147.21 23.68 26.94 45.59 43.44 50.50 41.86 18.72 36.26 21.80 44.78 33.23 19.82 19.82
47 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 23.04 143.91 116.10 30.08 36.96 44.34 44.78 33.23 19.82 19.82 21.80 36.26 39.41 19.27 54.28
48 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 19.80 131.00 126.67 36.81 30.20 29.36 20.01 20.01 140.38 126.10 133.70 21.20 127.10 125.12 133.75
49 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 23.70 135.90 123.70 40.95 41.50 28.50 21.85 21.85 23.80 121.20 135.96 21.90 38.82 27.17 36.23
50 | 1 3 4 5 6 7 8 9 10 11 12 | 55.92 156.07 111.92 140.23 21.75 123.03 125.39 138.50 27.40 23.05 23.05
